,TOI105
f,0.9141845779059801
P,1.093871001729856
amp,0.0010236058441946668
ph,-0.3321979109961375
T0,1325.6636731964963
offset,0.9995631638133554
e_amp,2.442253748703661e-05
e_ph,0.0037973284208504174
e_T0,0.004153787443612898
e_offset,1.7269341870866252e-05
e_f,0.0006433634345985367
e_P,0.0007698189421360382
pmax,0.08801581670442936
