,TOI0102_SECTOR01
f,0.4550846707906224
P,2.197393285655374
amp,0.0008932479984995569
ph,0.38831915051311655
T0,1324.4422881613511
offset,0.9996695241805326
e_amp,2.4360328470066807e-05
e_ph,0.0043404146416962655
e_T0,0.00953759799062365
e_offset,1.7225353453115956e-05
e_f,0.0006861099032169989
e_P,0.0033129072265418937
pmax,0.06758390338811955
