,f,P,amp,ph,T0,offset,e_amp,e_ph,e_T0,e_offset,e_f,e_P,pmax
TOI1687_SECTORNone,0.304887776623259,3.279895347315517,0.0246380908554271,-0.478261694083046,1817.65661711492,1.0023573913640451,3.591022292231773e-05,0.0002319696570304,0.0007608361988125,2.5392362142291463e-05,4.610819037144704e-05,0.000496018701528,0.9647236139579484
TOI3353_SECTORNone,0.3008602279792355,3.323802573429603,0.0224965262518681,-0.4329611317743399,1326.7354178717187,0.9970527763951106,3.415179948397736e-05,0.0002416118667612,0.0008030701445123,2.4148969004843623e-05,4.240364091044811e-05,0.0004684611579522,0.9593993990242504
TOI0523_SECTORNone,0.6649487102250308,1.5038753886169385,0.0426896043288196,-0.1504474971528317,1468.5025272323933,0.9996622383318368,8.033031966940958e-05,0.0002994866702689,0.0004503906326363,5.680211377312262e-05,6.624632155250121e-05,0.0001498254091439,0.9510099390022304
TOI0779_SECTORNone,0.3148105635343106,3.176513484087747,0.0193267940772619,0.4299110791926973,1542.9054173631814,1.0032973898529112,3.616272142959472e-05,0.0002977977541524,0.0009459585815962,2.5570905549026512e-05,5.721372929743433e-05,0.0005773001405921,0.9461997831863488
TOI1146_SECTORNone,0.4014139920733093,2.491193679709532,0.0064807042144336,-0.1192335411344019,2390.9538354704373,1.0002080133891418,1.1987901687613664e-05,0.0002944022358919,0.0007334129893462,8.47672657550928e-06,4.981789924553573e-05,0.0003091721718415,0.9366334382902688
TOI1703_SECTORNone,0.1677193485043935,5.962341309558594,0.0125044615549306,0.3003532476192944,2578.5732795442964,0.9993066636578908,2.684651303851928e-05,0.000341698459873,0.0020373228427135,1.8983351420750045e-05,6.138199573126433e-05,0.0021821001099469,0.9289213369471776
TOI0865_SECTORNone,0.6681850040334233,1.496591503795525,0.0190774588224743,-0.2699348996790022,1411.3101926303248,0.9985465295779136,4.386937517873717e-05,0.000365983120447,0.0005477272285936,3.102033267530186e-05,6.359621513223708e-05,0.0001424419205248,0.928526109827502
TOI1792_SECTORNone,0.1036568558070083,9.647215248954028,0.0114339510378735,-0.0646385462953727,1871.0626752369817,0.9983976983302616,2.3546468281322225e-05,0.0003277551921392,0.0031619248875295,1.6649867394716897e-05,,,0.9262690930735876
TOI4489_SECTORNone,4.593695221317984,0.2176896706945848,0.0457166107584231,-0.1398900340184333,2012.134100464516,0.9934220292079096,0.0001239541161248,0.0004315260902017,9.393877247214308e-05,8.764879606787244e-05,8.803602726442017e-05,4.171921048552411e-06,0.903401599567192
TOI0131_SECTORNone,0.1322805631751265,7.55968961725766,0.0209673139124572,-0.0037340270179054,1325.3272686981936,0.9947729104756132,5.190350892938282e-05,0.0003939798890986,0.002978365677027,3.670132313134312e-05,6.786716719018728e-05,0.0038785344335215,0.8956004369899584
TOI1554_SECTORNone,0.1856610957550404,5.386158020522462,0.0098947737850566,0.22151622168557,1682.1627018048844,0.9993957506772996,2.481331612429289e-05,0.000399115937511,0.0021497015079437,1.7545664095213004e-05,7.26508258093056e-05,0.0021076511831356,0.8928769222662932
TOI4625_SECTORNone,0.1452480832555484,6.884772436140223,0.0296828235066257,-0.0388941601845382,2474.43678328769,0.992545234641766,8.154526755207455e-05,0.000437233756208,0.0030102549128915,5.766121165974324e-05,8.481605333731733e-05,0.0040202886886402,0.8862235296621568
TOI2123_SECTORNone,0.1740106942967777,5.746773231618085,0.0153940615501899,-0.3076528213335028,1985.405542069995,1.00190847238464,4.280644415699191e-05,0.0004425639823226,0.0025433148468902,3.026872694189224e-05,8.318048399561026e-05,0.0027470689703917,0.8827041969543462
TOI2076_SECTORNone,0.1376947378779476,7.262441654715945,0.0069273108301081,0.3333007705501608,1736.228636909822,1.0002529056967873,2.051510329493381e-05,0.0004713344294063,0.0034230387934225,1.4506368656590182e-05,8.850979495503968e-05,0.004668277318641,0.8798518257135891
TOI1252_SECTORNone,0.5208555146389392,1.91991823431726,0.0211466496082572,-0.3742730124042974,1684.0720460200016,0.9995060639566874,5.936294147484788e-05,0.0004467802582073,0.0008577815644652,4.197593846804509e-05,8.038695120417803e-05,0.0002963132175437,0.8732322485741313
TOI1830_SECTORNone,0.4733670312474587,2.112525659771259,0.0045711355681021,-0.4713598968072601,1931.233270789022,0.9996994448133384,1.537265893954539e-05,0.000535235637238,0.0011306990176892,1.0870111381020546e-05,9.744165751460386e-05,0.000434859185879,0.8661388840935912
